input,output
어선 명성호 남해영해 1~2톤미만 6월 4-8시,침몰
어선 우성1호 서해영해 1~2톤미만 8월 4-8시,전복
수상레저기구 비양발호 서해영해 1톤미만 5월 12-16시,기관손상
어선 신생호 동해영해 1~2톤미만 7월 12-16시,충돌
어선 어창호 동해영해 1~2톤미만 3월 8-12시,침수
어선 동성5호 서해영해 1~2톤미만 8월 8-12시,해양오염
어선 신생호 동해영해 1~2톤미만 10월 4-8시,안전사고
어선 대성호 서해영해 1~2톤미만 7월 8-12시,운항저해
수상레저기구 바다새호 남해영해 1톤미만 10월 12-16시,기관손상
수상레저기구 천수호 서해영해 1톤미만 5월 12-16시,조타장치손상
수상레저기구 바다새호 남해영해 1톤미만 11월 12-16시,전복
어선 정예호 남해영해 1~2톤미만 9월 12-16시,기관손상
수상레저기구 써니호 서해영해 1톤미만 6월 12-16시,기관손상
수상레저기구 번개호 동해영해 1톤미만 9월 8-12시,기관손상
어선 정예호 남해영해 1~2톤미만 4월 16-20시,기관손상
어선 남성호 남해영해 1~2톤미만 5월 12-16시,기관손상
어선 해성호 남해영해 1~2톤미만 11월 12-16시,안전사고
어선 남성호 남해영해 1~2톤미만 4월 4-8시,기관손상
어선 일진호 동해영해 1~2톤미만 10월 4-8시,안전사고
어선 한양호 서해영해 1~2톤미만 5월 4-8시,침수
어선 대성호 서해영해 1~2톤미만 8월 12-16시,운항저해
어선 대산호 서해영해 1~2톤미만 5월 16-20시,침수
수상레저기구 범호 서해영해 1톤미만 8월 12-16시,기관손상
어선 초원호 남해영해 1~2톤미만 8월 16-20시,기관손상
어선 유정호 남해영해 3~5톤미만 3월 4-8시,충돌
어선 경양호 남해영해 3~5톤미만 3월 4-8시,충돌
"어선 소연호 마산항, 진해항, 진해만(가덕수로) 1~2톤미만 7월 4-8시",운항저해
어선 해명호 남해영해 1~2톤미만 10월 12-16시,침수
어선 해성호 남해영해 1~2톤미만 9월 12-16시,충돌
어선 엔젤호 남해영해 1~2톤미만 9월 12-16시,충돌
어선 성진호 남해영해 1~2톤미만 10월 12-16시,기관손상
어선 금광호 남해영해 1~2톤미만 4월 0-4시,기관손상
어선 주신호 동해영해 1~2톤미만 5월 16-20시,좌초
수상레저기구 파워킹호 서해영해 1톤미만 9월 12-16시,충돌
수상레저기구 장보고호 남해영해 1톤미만 2월 4-8시,전복
"수상레저기구 태성호 여수항, 광양항 및 진입수로 1톤미만 4월 16-20시",침수
수상레저기구 현순호 서해영해 1톤미만 7월 4-8시,운항저해
어선 승리호 남해영해 1~2톤미만 5월 4-8시,기관손상
수상레저기구 해월호 서해영해 1톤미만 7월 16-20시,기관손상
어선 에스에스조건호 남해영해 1~2톤미만 2월 16-20시,침수
수상레저기구 아웃자호 서해영해 1톤미만 9월 12-16시,기관손상
어선 강산호 남해영해 1~2톤미만 5월 0-4시,충돌
수상레저기구 마린 에프티에프호 동해영해 1톤미만 9월 8-12시,기관손상
수상레저기구 선데이 에프비600엘호 서해영해 1톤미만 7월 12-16시,운항저해
수상레저기구 블루스카이호 기타개항 1톤미만 9월 8-12시,기관손상
"어선 황금호 울산항(미포만포함), 포항항 1~2톤미만 4월 4-8시",부유물감김
어선 선영호 서해영해 1~2톤미만 6월 8-12시,전복
어선 제2성심호 서해영해 1~2톤미만 8월 12-16시,기관손상
어선 칠형호 남해영해 1~2톤미만 7월 8-12시,기관손상
수상레저기구 레드폭스호 동해영해 1톤미만 9월 12-16시,전복
수상레저기구 산달호 동해영해 1톤미만 9월 12-16시,전복
어선 제주범양호 남해영해 1~2톤미만 3월 12-16시,기관손상
어선 경전호 남해영해 1~2톤미만 9월 12-16시,기관손상
어선 동국호 서해영해 1~2톤미만 2월 8-12시,충돌
어선 해변호 남해영해 1~2톤미만 4월 20-24시,운항저해
수상레저기구 대양호 남해영해 1톤미만 12월 0-4시,침몰
수상레저기구 퍼시픽마린 서해영해 1톤미만 1월 16-20시,추진축계손상
수상레저기구 써니호 동해영해 1톤미만 3월 8-12시,기관손상
어선 준봉호 부산항 및 진입수로 5~10톤미만 11월 12-16시,안전사고
수상레저기구 금화호 서해영해 1톤미만 6월 8-12시,추진축계손상
어선 용덕호 남해영해 1~2톤미만 3월 0-4시,충돌
어선 종일호 서해영해 1~2톤미만 3월 8-12시,기관손상
어선 안전호 남해영해 1~2톤미만 3월 4-8시,조타장치손상
수상레저기구 동서호 서해영해 1톤미만 5월 12-16시,전복
수상레저기구 서해호 서해영해 1톤미만 7월 8-12시,운항저해
수상레저기구 번개호 동해영해 1톤미만 8월 8-12시,부유물감김
수상레저기구 세경호 남해영해 1톤미만 9월 12-16시,기관손상
어선 삼성호 남해영해 1~2톤미만 4월 8-12시,기관손상
어선 유성호 서해영해 1~2톤미만 8월 16-20시,침수
어선 덕성호 서해영해 1~2톤미만 7월 12-16시,좌초
어선 보금호 동해영해 1~2톤미만 12월 8-12시,기관손상
어선 청월호 남해영해 1~2톤미만 7월 4-8시,기관손상
어선 창성호 남해영해 1~2톤미만 11월 12-16시,기관손상
"어선 명진2호 장항항,군산항 및 진입수로 1~2톤미만 12월 20-24시",전복
어선 우주호 서해영해 1~2톤미만 9월 12-16시,기관손상
수상레저기구 비타민호 남해영해 1톤미만 9월 12-16시,운항저해
수상레저기구 조선참치 서해영해 1톤미만 12월 8-12시,기관손상
수상레저기구 신진레저호 서해영해 1톤미만 10월 16-20시,좌초
수상레저기구 신진레저호 서해영해 1톤미만 12월 12-16시,조타장치손상
어선 복길호 기타개항 1~2톤미만 11월 4-8시,전복
수상레저기구 돌고래호 동해영해 1톤미만 8월 16-20시,침몰
어선 삼성수산호 동해영해 1~2톤미만 2월 12-16시,침수
어선 수경호 남해영해 1~2톤미만 8월 4-8시,침수
수상레저기구 헤밍웨이호 남해영해 1톤미만 9월 4-8시,기관손상
어선 회진호 남해영해 1~2톤미만 10월 8-12시,추진축계손상
어선 신일호 남해영해 1~2톤미만 11월 12-16시,기관손상
어선 길옥호 남해영해 1~2톤미만 3월 4-8시,침수
수상레저기구 독바위호 동해영해 1톤미만 2월 8-12시,기관손상
어선 제102평진호 남해영해 25~30톤미만 3월 4-8시,충돌
어선 태능호 동해영해 5~10톤미만 2월 16-20시,안전사고
어선 명성마린호 남해영해 1~2톤미만 8월 0-4시,기관손상
어선 해광9호 남해영해 1~2톤미만 4월 16-20시,부유물감김
"수상레저기구 다자바호 울산항(미포만포함), 포항항 1톤미만 11월 8-12시",기관손상
어선 선해원1호 남해영해 1~2톤미만 8월 20-24시,침수
어선 유선1호 동해영해 1~2톤미만 3월 8-12시,부유물감김
수상레저기구 백야호 서해영해 1톤미만 5월 16-20시,기관손상
"어선 세준호 장항항,군산항 및 진입수로 1~2톤미만 5월 16-20시",기관손상
어선 해남호 남해영해 5~10톤미만 6월 8-12시,안전사고
어선 광신호 동해영해 1~2톤미만 11월 12-16시,운항저해
수상레저기구 성이1호 서해영해 1톤미만 11월 12-16시,침수
어선 대초호 서해영해 1~2톤미만 2월 12-16시,전복
어선 천관호 남해영해 1~2톤미만 3월 8-12시,충돌
어선 해연호 서해영해 1~2톤미만 7월 16-20시,추진축계손상
수상레저기구 경원호 남해영해 1톤미만 3월 12-16시,기관손상
수상레저기구 갈매기호 남해영해 1톤미만 11월 12-16시,기관손상
수상레저기구 블루스카이 남해영해 1톤미만 7월 12-16시,운항저해
어선 제3해성호 서해영해 1~2톤미만 2월 8-12시,침수
기타선 배리호 서해영해 1톤미만 5월 12-16시,전복
수상레저기구 만성호 남해영해 1톤미만 9월 8-12시,침수
"어선 수성호 울산항(미포만포함), 포항항 1~2톤미만 3월 12-16시",추진축계손상
어선 광신호 동해영해 1~2톤미만 3월 4-8시,좌초
어선 대명호 동해영해 1~2톤미만 5월 4-8시,부유물감김
수상레저기구 태경호 남해영해 1톤미만 6월 16-20시,기관손상
어선 대신호 남해영해 1~2톤미만 7월 16-20시,조타장치손상
수상레저기구 소나미1호 동해영해 1톤미만 8월 16-20시,충돌
수상레저기구 바다호 남해영해 1톤미만 9월 8-12시,침수
어선 정식호 남해영해 1~2톤미만 8월 20-24시,운항저해
어선 돈지호 남해영해 1~2톤미만 5월 16-20시,기관손상
어선 신승호 남해영해 1~2톤미만 11월 12-16시,기관손상
어선 구성호 남해영해 1~2톤미만 7월 8-12시,기관손상
어선 은하호 서해영해 1~2톤미만 11월 16-20시,침수
어선 제101형성호 남해공해 30~50톤미만 3월 0-4시,충돌
수상레저기구 해왕6호 서해영해 1톤미만 9월 16-20시,좌초
어선 삼창호 남해영해 1~2톤미만 1월 0-4시,안전사고
"수상레저기구 한명호 마산항, 진해항, 진해만(가덕수로) 1톤미만 2월 12-16시",기관손상
"어선 구성호 마산항, 진해항, 진해만(가덕수로) 1~2톤미만 10월 8-12시",접촉
"어선 만복호 평택항, 당진항 1~2톤미만 7월 8-12시",기관손상
어선 태양호 남해영해 1~2톤미만 7월 8-12시,추진축계손상
수상레저기구 건이호 서해영해 1톤미만 9월 12-16시,기관손상
어선 물새호 동해영해 1~2톤미만 11월 4-8시,부유물감김
수상레저기구 존버(JON-BER) 남해영해 1톤미만 2월 16-20시,기관손상
어선 유광스타호 서해영해 1~2톤미만 4월 12-16시,전복
수상레저기구 달빛정원호 남해영해 1톤미만 2월 16-20시,기관손상
어선 만복호 서해영해 1~2톤미만 6월 8-12시,기관손상
어선 명진호 남해영해 1~2톤미만 6월 16-20시,기관손상
어선 영일호 남해영해 1~2톤미만 9월 20-24시,기타
어선 해창호 서해영해 1~2톤미만 9월 16-20시,기관손상
어선 태풍호 남해영해 1~2톤미만 10월 0-4시,침몰
수상레저기구 베이라이너 동해영해 1톤미만 7월 12-16시,운항저해
어선 하유니호 남해영해 1~2톤미만 3월 4-8시,전복
수상레저기구 노아호 남해영해 1톤미만 7월 16-20시,기관손상
"어선 요셉호 울산항(미포만포함), 포항항 1~2톤미만 11월 12-16시",기관손상
수상레저기구 피싱호 서해영해 1톤미만 10월 8-12시,추진축계손상
수상레저기구 선명없음 남해영해 1톤미만 11월 16-20시,좌초
어선 선미2호 서해영해 1~2톤미만 10월 8-12시,추진축계손상
어선 동명호 남해영해 1~2톤미만 1월 8-12시,기관손상
수상레저기구 돌핀호 남해영해 1톤미만 2월 8-12시,기관손상
어선 제2명성호 남해영해 1~2톤미만 7월 4-8시,부유물감김
어선 길성호 동해영해 1~2톤미만 8월 20-24시,화재 · 폭발
어선 용성호 동해영해 1~2톤미만 2월 4-8시,화재 · 폭발
어선 주봉호 남해영해 1~2톤미만 9월 16-20시,기관손상
어선 해성호 남해영해 1~2톤미만 2월 8-12시,침몰
어선 삼성호 동해영해 1~2톤미만 1월 16-20시,충돌
어선 홍풍1호 서해영해 1~2톤미만 8월 4-8시,운항저해
수상레저기구 스카이호 남해영해 1톤미만 3월 12-16시,침수
어선 금영호 서해영해 1~2톤미만 7월 8-12시,기관손상
어선 성심호 서해영해 1~2톤미만 12월 8-12시,기관손상
어선 성심호 기타개항 1~2톤미만 12월 8-12시,기타
어선 경주호 남해영해 1~2톤미만 7월 20-24시,기관손상
어선 경주호 남해영해 1~2톤미만 10월 16-20시,부유물감김
어선 영일호 남해영해 1~2톤미만 4월 0-4시,침수
수상레저기구 싼타마리아호 서해영해 1톤미만 4월 16-20시,기관손상
어선 대성호 서해영해 1~2톤미만 9월 4-8시,기관손상
어선 국화호 남해영해 1~2톤미만 2월 12-16시,전복
수상레저기구 태성호 남해영해 1톤미만 4월 12-16시,기관손상
어선 경주호 남해영해 1~2톤미만 12월 8-12시,기관손상
수상레저기구 태환호 동해영해 1톤미만 5월 12-16시,기관손상
어선 흥복호 남해영해 1~2톤미만 1월 8-12시,기관손상
어선 별망호 서해영해 1~2톤미만 4월 8-12시,기관손상
어선 엔돌핀호 남해영해 1~2톤미만 6월 8-12시,부유물감김
어선 미소그린호 남해영해 1~2톤미만 7월 12-16시,기관손상
어선 성진호 남해영해 1~2톤미만 1월 0-4시,기관손상
수상레저기구 소심호 남해영해 1톤미만 6월 12-16시,조타장치손상
어선 현대호 남해영해 1~2톤미만 6월 8-12시,침수
수상레저기구 강1호 동해영해 1톤미만 8월 16-20시,기관손상
어선 양진호 남해영해 1~2톤미만 4월 12-16시,부유물감김
어선 도경호 남해영해 1~2톤미만 10월 4-8시,전복
"어선 정웅호 여수항, 광양항 및 진입수로 1~2톤미만 4월 16-20시",화재 · 폭발
수상레저기구 홍화마을호 서해영해 1톤미만 1월 12-16시,좌초
"어선 프리덤호 여수항, 광양항 및 진입수로 1~2톤미만 7월 12-16시",화재 · 폭발
어선 용마호 남해영해 1~2톤미만 2월 12-16시,운항저해
수상레저기구 삼목2호 인천항 및 진입수로 1톤미만 3월 16-20시,기타
어선 오성호 서해영해 1~2톤미만 8월 0-4시,기관손상
어선 정도호 서해영해 1~2톤미만 10월 12-16시,운항저해
수상레저기구 선명무 서해영해 1톤미만 6월 8-12시,기관손상
어선 태지호 남해영해 1~2톤미만 10월 12-16시,기관손상
수상레저기구 실버윙호 서해영해 1톤미만 8월 8-12시,추진축계손상
어선 신성호 남해영해 1~2톤미만 10월 16-20시,충돌
어선 창덕호 동해영해 1~2톤미만 1월 4-8시,좌초
어선 화성호 남해영해 1~2톤미만 10월 16-20시,기관손상
어선 화성호 남해영해 1~2톤미만 10월 16-20시,기관손상
어선 7진흥호 서해영해 1~2톤미만 5월 4-8시,침수
수상레저기구 팽돌이호 남해영해 1톤미만 8월 12-16시,운항저해
"수상레저기구 타호 장항항,군산항 및 진입수로 1톤미만 8월 8-12시",운항저해
어선 남양호 남해영해 1~2톤미만 11월 12-16시,충돌
어선 청용호 남해영해 1~2톤미만 12월 8-12시,화재 · 폭발
어선 반도호 남해영해 1~2톤미만 1월 8-12시,기관손상
수상레저기구 용가리호 서해영해 1톤미만 9월 8-12시,기관손상
어선 영광호 남해영해 1~2톤미만 11월 12-16시,기관손상
어선 대성호 서해영해 1~2톤미만 12월 8-12시,전복
어선 천일5호 남해영해 1~2톤미만 3월 12-16시,추진축계손상
수상레저기구 엔젤호 서해영해 1톤미만 9월 4-8시,기타
수상레저기구 선명무 서해영해 1톤미만 10월 12-16시,충돌
수상레저기구 뱅골호 서해영해 1톤미만 11월 12-16시,추진축계손상
어선 순풍호 남해영해 1~2톤미만 3월 8-12시,기관손상
어선 라이온피쉬호 남해영해 1~2톤미만 5월 4-8시,충돌
어선 천사호 서해영해 1~2톤미만 9월 4-8시,침몰
어선 복성호 동해영해 1~2톤미만 10월 8-12시,충돌
"화물선 트레져오션 남해공해 5,000~10,000톤미만 3월 0-4시",충돌
어선 성심1호 동해영해 1~2톤미만 10월 8-12시,기타
수상레저기구 노아호 남해영해 1톤미만 12월 8-12시,기관손상
유조선 광진호 부산항 및 진입수로 100~500톤미만 3월 16-20시,충돌
수상레저기구 대윤호 남해영해 1톤미만 3월 16-20시,화재 · 폭발
어선 제3영애호 남해영해 1~2톤미만 4월 8-12시,기관손상
어선 제3영애호 남해영해 1~2톤미만 12월 8-12시,조타장치손상
어선 거성호 서해영해 1~2톤미만 4월 8-12시,기관손상
수상레저기구 일호호 서해영해 1톤미만 6월 12-16시,운항저해
"화물선 비비씨스칸디나비아 부산항 및 진입수로 5,000~10,000톤미만 3월 16-20시",충돌
기타선 서해호 서해영해 1톤미만 6월 12-16시,전복
어선 명성호 남해영해 1~2톤미만 1월 0-4시,좌초
어선 해리호 서해영해 1~2톤미만 6월 8-12시,기관손상
어선 제2부광호 서해영해 5~10톤미만 1월 16-20시,안전사고
어선 대동호 서해영해 1~2톤미만 9월 4-8시,좌초
어선 배드로호 서해영해 1~2톤미만 12월 12-16시,기관손상
어선 602대양호 남해영해 5~10톤미만 2월 16-20시,안전사고
어선 돌고래호 인천항 및 진입수로 1~2톤미만 6월 8-12시,기관손상
어선 구주호 남해영해 1~2톤미만 6월 8-12시,부유물감김
수상레저기구 앵글러18에프호 서해영해 1톤미만 6월 4-8시,운항저해
어선 금성호 서해영해 1~2톤미만 10월 12-16시,부유물감김
수상레저기구 희주호 기타개항 1톤미만 8월 4-8시,전복
어선 베드로호 서해영해 1~2톤미만 1월 8-12시,기관손상
수상레저기구 퍼스트권앤한호 서해영해 1톤미만 10월 16-20시,침수
어선 세계호 남해공해 20~25톤미만 3월 12-16시,충돌
수상레저기구 무등록선박 남해영해 1톤미만 12월 8-12시,기관손상
"어선 원영호 여수항, 광양항 및 진입수로 1~2톤미만 9월 20-24시",침몰
수상레저기구 재동호 기타개항 1톤미만 11월 4-8시,침수
수상레저기구 가호 기타개항 1톤미만 11월 4-8시,침몰
어선 동성호 목포항 및 진입수로 1~2톤미만 5월 16-20시,침수
어선 성진호 서해영해 1~2톤미만 8월 4-8시,기관손상
"수상레저기구 7성원호 마산항, 진해항, 진해만(가덕수로) 1톤미만 3월 8-12시",좌초
수상레저기구 수정호 남해영해 1톤미만 5월 12-16시,기관손상
어선 성덕2호 서해영해 1~2톤미만 9월 4-8시,침몰
어선 상덕호 남해영해 1~2톤미만 11월 4-8시,기관손상
"화물선 타이 지아 남해공해 1,000~5,000톤미만 3월 12-16시",충돌
수상레저기구 사공호 서해영해 1톤미만 7월 8-12시,기관손상
수상레저기구 울타리호 서해영해 1톤미만 1월 8-12시,기관손상
어선 사량바다호 남해영해 1~2톤미만 1월 12-16시,좌초
수상레저기구 웅주호 남해영해 1톤미만 8월 16-20시,침수
어선 청일호 남해영해 1~2톤미만 4월 4-8시,조타장치손상
수상레저기구 유달호 목포항 및 진입수로 1톤미만 8월 12-16시,운항저해
"어선 동원호 동해항, 묵호항, 속초항, 삼척항 1~2톤미만 9월 12-16시",기관손상
수상레저기구 천금호 동해영해 1톤미만 5월 12-16시,기관손상
어선 청일호 남해영해 1~2톤미만 8월 20-24시,추진축계손상
어선 삼성호 남해영해 1~2톤미만 4월 8-12시,좌초
어선 삼성호 남해영해 1~2톤미만 4월 8-12시,화재 · 폭발
어선 성광호 남해영해 1~2톤미만 8월 16-20시,기관손상
어선 해태호 남해영해 1~2톤미만 11월 8-12시,기관손상
어선 동진호 남해영해 1~2톤미만 8월 8-12시,좌초
어선 은광호 남해영해 1~2톤미만 2월 12-16시,기관손상
어선 승현호 서해영해 1~2톤미만 2월 8-12시,침수
수상레저기구 천만호 인천항 및 진입수로 1톤미만 11월 12-16시,기관손상
어선 제5나라호 남해영해 1~2톤미만 5월 20-24시,좌초
수상레저기구 천만호 인천항 및 진입수로 1톤미만 11월 16-20시,기관손상
어선 멤버스호 서해영해 1~2톤미만 9월 16-20시,기관손상
어선 용승호 남해영해 1~2톤미만 9월 16-20시,운항저해
어선 제103금진호 남해공해 30~50톤미만 3월 12-16시,충돌
어선 남도수산호 서해영해 1~2톤미만 11월 12-16시,기관손상
어선 수성호 남해영해 1~2톤미만 12월 8-12시,좌초
어선 해성호 남해영해 1~2톤미만 5월 16-20시,부유물감김
어선 장원호 남해영해 1~2톤미만 7월 20-24시,기관손상
수상레저기구 레인보우호 남해영해 1톤미만 7월 12-16시,추진축계손상
수상레저기구 자근호 남해영해 1톤미만 2월 8-12시,기관손상
수상레저기구 라바호 동해영해 1톤미만 3월 16-20시,침수
어선 한려호 남해영해 1~2톤미만 12월 20-24시,추진축계손상
어선 우정호 남해영해 1~2톤미만 1월 0-4시,전복
어선 제동호 남해영해 1~2톤미만 6월 16-20시,기관손상
"유조선 에스엠화이트훼일1 남해공해 100,000톤이상 3월 12-16시",충돌
수상레저기구 레인보우호 남해영해 1톤미만 5월 12-16시,기관손상
"어선 만수호 울산항(미포만포함), 포항항 5~10톤미만 3월 4-8시",충돌
어선 금성호 서해영해 1~2톤미만 3월 16-20시,기관손상
"수상레저기구 대원마린호 울산항(미포만포함), 포항항 1톤미만 7월 16-20시",기관손상
수상레저기구 태광호 남해영해 1톤미만 1월 12-16시,기관손상
수상레저기구 돌핀스 남해영해 1톤미만 2월 8-12시,전복
수상레저기구 천사호 서해영해 1톤미만 9월 8-12시,전복
어선 금풍오호 남해영해 1~2톤미만 6월 8-12시,추진축계손상
어선 형제호 부산항 및 진입수로 1~2톤미만 8월 4-8시,기관손상
수상레저기구 통통호 남해영해 1톤미만 9월 12-16시,침수
"수상레저기구 태광호 마산항, 진해항, 진해만(가덕수로) 1톤미만 10월 8-12시",기관손상
어선 금풍오호 남해영해 1~2톤미만 1월 12-16시,추진축계손상
어선 청해호 남해영해 1~2톤미만 10월 4-8시,기관손상
어선 블루마린3호 남해영해 1~2톤미만 12월 12-16시,기타
"유조선 판다르 울산항(미포만포함), 포항항 5,000~10,000톤미만 3월 4-8시",충돌
어선 태양호 남해영해 1~2톤미만 7월 12-16시,기관손상
수상레저기구 누리호 동해영해 1톤미만 2월 12-16시,기관손상
어선 제1태진호 서해영해 5~10톤미만 3월 8-12시,안전사고
수상레저기구 해양호 서해영해 1톤미만 6월 12-16시,침수
어선 태영호 서해영해 1~2톤미만 4월 12-16시,추진축계손상
어선 빅토리아호 서해영해 1~2톤미만 4월 4-8시,좌초
수상레저기구 모모호 서해영해 1톤미만 12월 8-12시,기관손상
어선 우양호 서해영해 1~2톤미만 5월 8-12시,기관손상
어선 전일호 서해영해 1~2톤미만 4월 8-12시,기관손상
어선 유진호 남해영해 1~2톤미만 7월 16-20시,충돌
"수상레저기구 신영호 여수항, 광양항 및 진입수로 1톤미만 12월 16-20시",침몰
수상레저기구 뉴선호 남해영해 1톤미만 6월 8-12시,기관손상
"어선 현주호 장항항,군산항 및 진입수로 1~2톤미만 10월 16-20시",부유물감김
어선 동부호 남해영해 1~2톤미만 3월 12-16시,기관손상
어선 태영호 서해영해 1~2톤미만 7월 16-20시,운항저해
어선 동경호 동해영해 1~2톤미만 9월 4-8시,좌초
어선 태영호 서해영해 1~2톤미만 1월 12-16시,기관손상
기타선 성영2호 서해영해 1톤미만 8월 16-20시,전복
수상레저기구 사랑호 남해영해 1톤미만 9월 12-16시,운항저해
어선 유달호 서해영해 1~2톤미만 4월 8-12시,기관손상
어선 은성호 남해영해 1~2톤미만 5월 8-12시,추진축계손상
어선 킹스타호 남해영해 1~2톤미만 7월 16-20시,기관손상
기타선 무등록선박 남해영해 1톤미만 6월 16-20시,추진축계손상
어선 양지호 서해영해 1~2톤미만 9월 8-12시,침몰
어선 광성호 서해영해 1~2톤미만 10월 8-12시,부유물감김
어선 은성호 남해영해 1~2톤미만 11월 12-16시,기관손상
수상레저기구 한울호 동해영해 1톤미만 8월 16-20시,침수
어선 제2동해호 동해영해 1~2톤미만 11월 8-12시,충돌
어선 대웅호 부산항 및 진입수로 1~2톤미만 8월 4-8시,화재 · 폭발
어선 충무2호 남해영해 1~2톤미만 10월 4-8시,화재 · 폭발
어선 별망호 서해영해 1~2톤미만 1월 8-12시,기관손상
수상레저기구 유아독전호 서해영해 1톤미만 9월 8-12시,기관손상
"어선 대흥호 삼천포, 통영항, 통영해만, 견내량수로 1~2톤미만 8월 4-8시",침수
어선 대영호 남해영해 1~2톤미만 10월 12-16시,침수
어선 화정호 남해영해 1~2톤미만 6월 4-8시,기관손상
수상레저기구 동진호 동해영해 1톤미만 9월 8-12시,기관손상
어선 창대호 서해영해 1~2톤미만 7월 8-12시,충돌
수상레저기구 절영호 부산항 및 진입수로 1톤미만 9월 12-16시,기관손상
어선 별망호 서해영해 1~2톤미만 9월 12-16시,기관손상
어선 등대호 남해영해 1~2톤미만 11월 8-12시,기관손상
어선 소망호 남해영해 1~2톤미만 3월 12-16시,기관손상
어선 한성호 서해영해 1~2톤미만 5월 8-12시,충돌
수상레저기구 써니호 동해영해 1톤미만 12월 16-20시,기관손상
어선 중앙호 남해영해 1~2톤미만 1월 8-12시,기관손상
어선 강동호 남해영해 5~10톤미만 3월 12-16시,충돌
어선 대승호 남해영해 1~2톤미만 2월 16-20시,침수
수상레저기구 에지트랙커487호 서해영해 1톤미만 10월 12-16시,운항저해
어선 신광호 남해영해 1~2톤미만 3월 4-8시,침수
어선 덕일호 서해영해 1~2톤미만 4월 8-12시,좌초
어선 동백3호 서해영해 1~2톤미만 5월 12-16시,부유물감김
어선 정수산호 남해영해 1~2톤미만 6월 16-20시,침수
어선 동백3호 서해영해 1~2톤미만 7월 20-24시,기관손상
어선 명진호 서해영해 1~2톤미만 9월 4-8시,추진축계손상
어선 제2태화호 동해영해 1~2톤미만 12월 4-8시,기관손상
어선 바다독수리호 남해영해 1~2톤미만 2월 16-20시,기관손상
어선 상진호 남해영해 1~2톤미만 3월 8-12시,기관손상
수상레저기구 제비호 남해영해 1톤미만 9월 8-12시,조타장치손상
어선 상진호 남해영해 1~2톤미만 3월 4-8시,충돌
어선 자명호 동해영해 1~2톤미만 7월 16-20시,운항저해
어선 화영호 서해영해 1~2톤미만 9월 8-12시,충돌
수상레저기구 한영호 남해영해 1톤미만 10월 12-16시,기관손상
어선 대영호 남해영해 1~2톤미만 9월 8-12시,운항저해
어선 수비호 동해영해 1~2톤미만 9월 8-12시,부유물감김
어선 화영호 서해영해 1~2톤미만 9월 8-12시,기관손상
"수상레저기구 선명무 장항항,군산항 및 진입수로 1톤미만 12월 12-16시",기관손상
수상레저기구 원두호 남해영해 1톤미만 12월 12-16시,부유물감김
수상레저기구 마린호 서해영해 1톤미만 3월 12-16시,기관손상
어선 재영호 남해영해 1~2톤미만 6월 16-20시,기관손상
예인선 샤흐트요르스크6 남해영해 100~500톤미만 3월 12-16시,충돌
수상레저기구 투빈호 서해영해 1톤미만 6월 8-12시,운항저해
어선 제501혜승호 부산항 및 진입수로 100~500톤미만 3월 0-4시,충돌
수상레저기구 이로호 서해영해 1톤미만 11월 16-20시,운항저해
수상레저기구 자유호 서해영해 1톤미만 5월 12-16시,조타장치손상
어선 갑연호 남해영해 1~2톤미만 12월 16-20시,좌초
어선 봉진호 동해영해 1~2톤미만 10월 4-8시,침몰
어선 해성호 남해영해 1~2톤미만 7월 4-8시,충돌
어선 동성호 남해영해 1~2톤미만 7월 12-16시,조타장치손상
어선 장미2호 목포항 및 진입수로 1~2톤미만 7월 4-8시,침수
어선 봉진호 동해영해 1~2톤미만 4월 8-12시,침수
어선 영수호 서해영해 1~2톤미만 9월 8-12시,침몰
어선 청해호 남해영해 1~2톤미만 10월 12-16시,기관손상
어선 베드로2호 남해영해 1~2톤미만 12월 16-20시,침수
어선 우진호 서해영해 1~2톤미만 9월 12-16시,충돌
어선 대양호 남해영해 1~2톤미만 11월 4-8시,접촉
어선 경승호 서해영해 1~2톤미만 12월 8-12시,기관손상
어선 청일23호 동해영해 1~2톤미만 10월 16-20시,침수
어선 태봉1호 남해영해 1~2톤미만 11월 4-8시,충돌
수상레저기구 거북2호 서해영해 1톤미만 7월 12-16시,기관손상
수상레저기구 체험장호 남해영해 1톤미만 9월 20-24시,침수
어선 연경호 남해영해 1~2톤미만 12월 4-8시,좌초
어선 꿈의바다호 남해영해 1~2톤미만 4월 16-20시,전복
수상레저기구 선명미상 남해영해 1톤미만 5월 20-24시,전복
어선 다운호 남해영해 1~2톤미만 4월 12-16시,좌초
어선 금연호 동해영해 1~2톤미만 7월 12-16시,기관손상
수상레저기구 사랑호 동해영해 1톤미만 5월 16-20시,침몰
어선 돌섬호 서해영해 1~2톤미만 10월 0-4시,침수
어선 승강호 동해영해 1~2톤미만 7월 8-12시,추진축계손상
어선 에이스2호 남해영해 1~2톤미만 10월 4-8시,기관손상
"어선 무의1호 마산항, 진해항, 진해만(가덕수로) 1~2톤미만 10월 12-16시",기관손상
어선 어성호 서해영해 1~2톤미만 9월 12-16시,침수
어선 청록호 서해영해 1~2톤미만 11월 8-12시,기관손상
수상레저기구 금정호 서해영해 1톤미만 10월 8-12시,기관손상
수상레저기구 선명미상 동해영해 1톤미만 2월 12-16시,기관손상
수상레저기구 낚시용 목포항 및 진입수로 1톤미만 4월 12-16시,기관손상
